what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947856632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317947857035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317947859714
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947861339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317947865522
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947869676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947869690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947871382
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947886591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947886605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947887732
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947893641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947893655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947894235
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947902656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947902670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947903580
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947918139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947970186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317947970603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317947979314
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947982087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317947992819
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317947996535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947996550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317947997731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317947999595
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317948000656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948000671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948001507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317948003436
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317948012761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948012776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948013972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948019898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948051868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1317948052273
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317948057898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948057913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948058542
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1317948076432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948076445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948076947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317948133005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317948133358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948135070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948200267
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317948200410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317948211622
